"","tplace","year","mois","temperature"
"1","Antalya",1961,"t1",9.63
"2","Antalya",1962,"t1",9.41
"3","Antalya",1963,"t1",9.75
"4","Antalya",1964,"t1",9.77
"5","Antalya",1965,"t1",9.03
"6","Antalya",1966,"t1",10.28
"7","Antalya",1967,"t1",10.29
"8","Antalya",1968,"t1",9.66
"9","Antalya",1969,"t1",9.37
"10","Antalya",1970,"t1",9.43
"11","Antalya",1971,"t1",8.71
"12","Antalya",1972,"t1",9.74
"13","Antalya",1973,"t1",9.25
"14","Antalya",1974,"t1",8.38
"15","Antalya",1975,"t1",9.13
"16","Antalya",1976,"t1",8.8
"17","Antalya",1977,"t1",9.46
"18","Antalya",1978,"t1",9.67
"19","Antalya",1979,"t1",9.98
"20","Antalya",1980,"t1",9.98
"21","Antalya",1981,"t1",10.68
"22","Antalya",1982,"t1",9.9
"23","Antalya",1983,"t1",9.08
"24","Antalya",1984,"t1",9.2
"25","Antalya",1985,"t1",9.02
"26","Antalya",1986,"t1",10.26
"27","Antalya",1987,"t1",9.45
"28","Antalya",1988,"t1",9.52
"29","Antalya",1989,"t1",9.93
"30","Antalya",1990,"t1",9.9
"31","Antalya",1991,"t1",9.77
"32","Antalya",1992,"t1",10.23
"33","Antalya",1993,"t1",9.81
"34","Antalya",1994,"t1",9.91
"35","Antalya",1995,"t1",9.34
"36","Antalya",1996,"t1",9.73
"37","Antalya",1997,"t1",8.93
"38","Antalya",1998,"t1",9.71
"39","Antalya",1999,"t1",10.8
"40","Antalya",2000,"t1",10.57
"41","Antalya",2001,"t1",11
"42","Antalya",2002,"t1",9.91
"43","Antalya",2003,"t1",9.45
"44","Antalya",2004,"t1",9.23
"45","Antalya",2005,"t1",9.76
"46","Antalya",2006,"t1",10.33
"47","Antalya",2007,"t1",10.53
"48","Antalya",2008,"t1",8.51
"49","Antalya",2009,"t1",10.65
"50","Antalya",2010,"t1",10.67
"51","Antalya",2011,"t1",9.56
"52","Antalya",2012,"t1",9.87
"53","Antalya",2013,"t1",10.36
"54","Antalya",2014,"t1",9.86
"55","Antalya",2015,"t1",10.27
"56","Antalya",2016,"t1",10.27
"57","Antalya",2017,"t1",10.41
"58","Antalya",2018,"t1",10.28
"59","Antalya",2019,"t1",10.17
"60","Antalya",2020,"t1",10.38
"61","Antalya",2021,"t1",9.76
"62","Antalya",2022,"t1",9.71
"63","Antalya",2023,"t1",9.87
"64","Antalya",2024,"t1",10.24
"65","Antalya",2025,"t1",10.46
"66","Antalya",2026,"t1",10.5
"67","Antalya",2027,"t1",10.36
"68","Antalya",2028,"t1",9.91
"69","Antalya",2029,"t1",9.86
"70","Antalya",2030,"t1",9.47
"71","Antalya",2031,"t1",10.75
"72","Antalya",2032,"t1",10.63
"73","Antalya",2033,"t1",11.39
"74","Antalya",2034,"t1",10.78
"75","Antalya",2035,"t1",11.16
"76","Antalya",2036,"t1",10.89
"77","Antalya",2037,"t1",10.73
"78","Antalya",2038,"t1",11.08
"79","Antalya",2039,"t1",11.08
"80","Antalya",2040,"t1",10.98
"81","Antalya",2041,"t1",10.38
"82","Antalya",2042,"t1",11.76
"83","Antalya",2043,"t1",10.93
"84","Antalya",2044,"t1",10.64
"85","Antalya",2045,"t1",11.4
"86","Antalya",2046,"t1",11.62
"87","Antalya",2047,"t1",11.06
"88","Antalya",2048,"t1",10.36
"89","Antalya",2049,"t1",11.29
"90","Antalya",2050,"t1",11.71
"91","Antalya",2051,"t1",10.34
"92","Antalya",2052,"t1",11.15
"93","Antalya",2053,"t1",12.44
"94","Antalya",2054,"t1",11.36
"95","Antalya",2055,"t1",11.83
"96","Antalya",2056,"t1",11.17
"97","Antalya",2057,"t1",11.04
"98","Antalya",2058,"t1",11.5
"99","Antalya",2059,"t1",11.59
"100","Antalya",2060,"t1",12.1
"101","Antalya",2061,"t1",10.71
"102","Antalya",2062,"t1",10.93
"103","Antalya",2063,"t1",12
"104","Antalya",2064,"t1",11.32
"105","Antalya",2065,"t1",12.08
"106","Antalya",2066,"t1",11.26
"107","Antalya",2067,"t1",11.95
"108","Antalya",2068,"t1",11.41
"109","Antalya",2069,"t1",12.24
"110","Antalya",2070,"t1",12.08
"111","Antalya",2071,"t1",11.9
"112","Antalya",2072,"t1",12.04
"113","Antalya",2073,"t1",11.22
"114","Antalya",2074,"t1",11.44
"115","Antalya",2075,"t1",11.63
"116","Antalya",2076,"t1",12.3
"117","Antalya",2077,"t1",10.65
"118","Antalya",2078,"t1",11.17
"119","Antalya",2079,"t1",12.01
"120","Antalya",2080,"t1",11.7
"121","Antalya",2081,"t1",11.66
"122","Antalya",2082,"t1",12.39
"123","Antalya",2083,"t1",12.74
"124","Antalya",2084,"t1",12.27
"125","Antalya",2085,"t1",13.09
"126","Antalya",2086,"t1",11.58
"127","Antalya",2087,"t1",12.2
"128","Antalya",2088,"t1",12.3
"129","Antalya",2089,"t1",13.01
"130","Antalya",2090,"t1",12.54
"131","Antalya",2091,"t1",12.67
"132","Antalya",2092,"t1",13.02
"133","Antalya",2093,"t1",13.07
"134","Antalya",2094,"t1",12.55
"135","Antalya",2095,"t1",11.8
"136","Antalya",2096,"t1",11.7
"137","Antalya",1961,"t2",10.15
"138","Antalya",1962,"t2",10.15
"139","Antalya",1963,"t2",10.52
"140","Antalya",1964,"t2",9.68
"141","Antalya",1965,"t2",9.92
"142","Antalya",1966,"t2",9.94
"143","Antalya",1967,"t2",10
"144","Antalya",1968,"t2",9.87
"145","Antalya",1969,"t2",10.82
"146","Antalya",1970,"t2",10.46
"147","Antalya",1971,"t2",9.91
"148","Antalya",1972,"t2",9.93
"149","Antalya",1973,"t2",10.55
"150","Antalya",1974,"t2",9.88
"151","Antalya",1975,"t2",10.6
"152","Antalya",1976,"t2",9.54
"153","Antalya",1977,"t2",9.59
"154","Antalya",1978,"t2",9.51
